,Method,Qlocal,Qglobal,Corr
0,DiffMap,0.3591260210060254,0.7157695737399761,0.3178279935010158
1,t-sne,0.47266355412331273,0.7088105197914434,0.5350470142161667
2,umap,0.48767719482376226,0.7305753231767271,0.5365521939507144
3,PCA,0.36548323103731256,0.786922943575282,0.7292041189474763
4,ForceAtlas2,0.3920060780206143,0.7086602610293589,0.45250666709196924
