,Method,Qlocal,Qglobal,Corr
0,DiffMap,0.3907148394626714,0.7395529139932514,0.3754834608357553
1,t-sne,0.47266355412331273,0.7088105197914434,0.5350470142161667
2,umap,0.5459882153287064,0.7577766922747158,0.6152943559697267
3,PCA,0.4079453796287316,0.7875659266652423,0.7903688373068529
4,ForceAtlas2,0.3920060780206143,0.7086602610293589,0.45250666709196924
