,Method,Qlocal,Qglobal,Corr
0,DiffMap,0.7525499999999999,0.8642645487844458,0.8351425771163591
1,t-sne,0.5747561507936507,0.7941790147071045,0.34353957146482306
2,umap,0.7591056547619047,0.7541033140394374,0.48724692850445017
3,PCA,1.0,1.0,0.9999999999999993
4,ForceAtlas2,0.7179184303350971,0.867018215825215,0.8581219537532196
