,Method,Qlocal,Qglobal,Corr
0,DiffMap,0.41207669986862494,0.7616901032802971,0.33506923601205313
1,t-sne,0.4590462855896626,0.7668886943180071,0.25251392603279826
2,umap,0.46862424206828396,0.7714307006585961,0.2500783459077494
3,PCA,0.48213707664747335,0.8110491280674695,0.4518137559603755
4,ForceAtlas2,0.43013255674436945,0.7540372892269068,0.2309252173167518
