,Method,Qlocal,Qglobal,Corr
0,DiffMap,0.6702736822829782,0.8879943075164748,0.8876819381937642
1,t-sne,0.8232171933246154,0.843120516457557,0.7001776156948443
2,umap,0.7682546190394202,0.840624651288081,0.7898225271005019
3,PCA,0.7287893523808465,0.9439209971626905,0.9781528475770597
4,ForceAtlas2,0.77475562198432,0.8725391378819752,0.8145702731374065
