,Method,Qlocal,Qglobal,Corr
0,DiffMap,0.4337258459773243,0.7707053800431305,0.35383248142263973
1,t-sne,0.4590462855896626,0.7668886943180071,0.25251392603279826
2,umap,0.4749717642824917,0.7720166773225835,0.2502610457214943
3,PCA,0.509149196535654,0.821950530897048,0.6031710132188706
4,ForceAtlas2,0.43013255674436945,0.7540372892269068,0.2309252173167518
