,Method,Qlocal,Qglobal,Corr
0,DiffMap,0.5138503550585422,0.8339739001285003,0.7234096437726735
1,t-sne,0.6034463232617333,0.887642302576971,0.8945868545566775
2,umap,0.5998470196873722,0.8964610212209005,0.9076981584950891
3,PCA,0.566208640076141,0.9187586293676597,0.9181817847164199
4,ForceAtlas2,0.555717615576337,0.9039488964880001,0.9111742856718993
