,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit
0,1,,,,2.586167097091675,6.98564,75.0,1.0
1,2,0.5532569313100898,0.8420529594072241,0.8761324074258757,11.942703247070312,6.98564,75.0,59.0
2,MapOutlier,,,,0.0,6.98564,,
3,Avedmat,,,,0.3086221218109131,,,
