,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit
0,1,,,,178.82123184204102,7.7637,198.0,1.0
1,2,0.4708384280238905,0.825647901487186,0.7989680995233506,17.290286540985107,7.7637,198.0,24.0
2,MapOutlier,,,,0.0,7.7637,,
3,Avedmat,,,,1.8529610633850098,,,
