,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit
0,1,,,,1025.5472447872162,6.92585,800.0,1.0
1,2,,,,2970.1622817516327,6.92585,800.0,400.0
2,MapOutlier,,,,0.0,6.92585,,
3,Avedmat,,,,0.7756786346435547,,,
